epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,596.087,0.0885,0.81132,1,0.68321,0.000830833,0.000830833,0.000830833
78,603.856,0.05656,0.83019,1,0.50432,0.000819831,0.000819831,0.000819831
79,611.726,0.07715,0.83019,1,0.49629,0.000808828,0.000808828,0.000808828
80,620.046,0.12992,0.81132,1,0.45989,0.000797826,0.000797826,0.000797826
81,628.302,0.04785,0.84906,1,0.45379,0.000786824,0.000786824,0.000786824
82,636.574,0.11416,0.81132,1,0.43855,0.000775822,0.000775822,0.000775822
83,644.782,0.0762,0.86792,1,0.50528,0.00076482,0.00076482,0.00076482
84,653.221,0.09062,0.84906,1,0.56963,0.000753817,0.000753817,0.000753817
85,661.747,0.08654,0.81132,1,0.40728,0.000742815,0.000742815,0.000742815
86,670.194,0.07513,0.83019,1,0.35834,0.000731813,0.000731813,0.000731813
87,678.13,0.06782,0.84906,1,0.32863,0.000720811,0.000720811,0.000720811
88,686.069,0.04464,0.83019,1,0.39485,0.000709809,0.000709809,0.000709809
89,694.023,0.07073,0.81132,1,0.37141,0.000698806,0.000698806,0.000698806
90,701.963,0.06789,0.79245,1,0.54519,0.000687804,0.000687804,0.000687804
91,710.13,0.08533,0.83019,1,0.51262,0.000676802,0.000676802,0.000676802
92,718.02,0.07771,0.86792,1,0.50705,0.0006658,0.0006658,0.0006658
93,725.859,0.06944,0.81132,1,0.59226,0.000654798,0.000654798,0.000654798
94,733.737,0.04891,0.81132,1,0.59079,0.000643795,0.000643795,0.000643795
95,741.579,0.06856,0.83019,1,0.54943,0.000632793,0.000632793,0.000632793
96,749.52,0.03518,0.83019,1,0.42989,0.000621791,0.000621791,0.000621791
97,757.546,0.06581,0.84906,1,0.43744,0.000610789,0.000610789,0.000610789
98,765.373,0.04854,0.79245,1,0.61962,0.000599787,0.000599787,0.000599787
99,773.313,0.06125,0.79245,1,0.6185,0.000588784,0.000588784,0.000588784
100,781.165,0.04832,0.77358,1,0.73224,0.000577782,0.000577782,0.000577782
101,789.177,0.0618,0.77358,1,0.61929,0.00056678,0.00056678,0.00056678
102,796.894,0.09138,0.77358,1,0.60027,0.000555778,0.000555778,0.000555778
